TRTID10,state,county,tract,cbsa10,POP70SP1,INCPC70
34003056200,NJ,Bergen County,Census Tract 562,35620,7707.939924,5592.812
34003057101,NJ,Bergen County,Census Tract 571.01,35620,3151.370427,4731.764
34003057102,NJ,Bergen County,Census Tract 571.02,35620,3269.114645,4712.555
34003057200,NJ,Bergen County,Census Tract 572,35620,3400.514374,4058.321
34003058100,NJ,Bergen County,Census Tract 581,35620,4913.003384,6255.216
34003058200,NJ,Bergen County,Census Tract 582,35620,4967.247552,6245.511
34003059100,NJ,Bergen County,Census Tract 591,35620,4978.784647,5129.549
34003059200,NJ,Bergen County,Census Tract 592,35620,6495.992153,5830.63
34003060000,NJ,Bergen County,Census Tract 600,35620,8906.49556,5176.967
34003061100,NJ,Bergen County,Census Tract 611,35620,4644.014598,7302.059
34003061200,NJ,Bergen County,Census Tract 612,35620,3524.397985,7302.225
34003061300,NJ,Bergen County,Census Tract 613,35620,3689.309465,7302.224
34003061400,NJ,Bergen County,Census Tract 614,35620,4160.136587,7302.224
34013000100,NJ,Essex County,Census Tract 1,35620,4188.830332,4478.237
34013000200,NJ,Essex County,Census Tract 2,35620,1980.999976,2917.783
34013000300,NJ,Essex County,Census Tract 3,35620,3474.381492,2859.804
34013000400,NJ,Essex County,Census Tract 4,35620,1887.091535,3736.424
34013000500,NJ,Essex County,Census Tract 5,35620,1663.000002,3928.723
34013000600,NJ,Essex County,Census Tract 6,35620,3710.802975,4110.425
34013000700,NJ,Essex County,Census Tract 7,35620,8987.940026,3925.371
34013000800,NJ,Essex County,Census Tract 8,35620,4033.72109,3739.335
34013000900,NJ,Essex County,Census Tract 9,35620,5057.72649,3626.815
34013001000,NJ,Essex County,Census Tract 10,35620,8022.06046,2596.355
34013001100,NJ,Essex County,Census Tract 11,35620,2730.21424,2310.039
34013001300,NJ,Essex County,Census Tract 13,35620,3909.000024,3020.554
34013001400,NJ,Essex County,Census Tract 14,35620,4203.000023,3277.37
34013001500,NJ,Essex County,Census Tract 15,35620,2354.999975,2761.492
34013001600,NJ,Essex County,Census Tract 16,35620,3086.097404,3102.432
34013001700,NJ,Essex County,Census Tract 17,35620,4799.245863,3485.383
34013001800,NJ,Essex County,Census Tract 18,35620,5412.093758,2922.797
34013001900,NJ,Essex County,Census Tract 19,35620,2531.527801,3578.766
34013002000,NJ,Essex County,Census Tract 20,35620,3652.231701,4152.404
34013002100,NJ,Essex County,Census Tract 21,35620,4173.113993,4432.85
34013002201,NJ,Essex County,Census Tract 22.01,35620,5914.088113,4524.743
34013002202,NJ,Essex County,Census Tract 22.02,35620,4344.280569,4521.673
34013002300,NJ,Essex County,Census Tract 23,35620,5120.641263,4340.653
34013002400,NJ,Essex County,Census Tract 24,35620,4020.636095,3873.201
34013002500,NJ,Essex County,Census Tract 25,35620,5356.067335,4220.965
34013002600,NJ,Essex County,Census Tract 26,35620,3890.83196,3369.235
34013002800,NJ,Essex County,Census Tract 28,35620,3098.999981,2685.431
34013003100,NJ,Essex County,Census Tract 31,35620,6716.999844,2166.843
34013003500,NJ,Essex County,Census Tract 35,35620,5690.066759,3116.62
34013003700,NJ,Essex County,Census Tract 37,35620,3054.760878,3461.333
34013003800,NJ,Essex County,Census Tract 38,35620,8434.000008,2616.855
34013003900,NJ,Essex County,Census Tract 39,35620,1255.000009,2490.774
34013004100,NJ,Essex County,Census Tract 41,35620,5733.000075,3546.439
34013004200,NJ,Essex County,Census Tract 42,35620,4682.482809,3655.47
34013004300,NJ,Essex County,Census Tract 43,35620,4137.094191,3559.295
34013004400,NJ,Essex County,Census Tract 44,35620,4082.999967,3819.722
34013004500,NJ,Essex County,Census Tract 45,35620,5584.226521,4068.373
34013004600,NJ,Essex County,Census Tract 46,35620,5165.160324,4378.274
34013004700,NJ,Essex County,Census Tract 47,35620,6709.000013,4598.145
34013004801,NJ,Essex County,Census Tract 48.01,35620,2070.347585,4275.994
34013004802,NJ,Essex County,Census Tract 48.02,35620,5853.132592,2405.471
34013004900,NJ,Essex County,Census Tract 49,35620,6404.999902,4294.854
34013005000,NJ,Essex County,Census Tract 50,35620,10149.78908,3145.306
34013005100,NJ,Essex County,Census Tract 51,35620,4131.000015,3988.063
34013005200,NJ,Essex County,Census Tract 52,35620,2690.999976,3498.54
34013005300,NJ,Essex County,Census Tract 53,35620,5268.000001,3547.886
34013005400,NJ,Essex County,Census Tract 54,35620,5771.999984,3434.463
34013005700,NJ,Essex County,Census Tract 57,35620,4194.104286,3034.723
34013006200,NJ,Essex County,Census Tract 62,35620,5605.000073,3133.722
34013006400,NJ,Essex County,Census Tract 64,35620,1906.785788,2334.145
34013006600,NJ,Essex County,Census Tract 66,35620,4846.000018,3261.174
34013006700,NJ,Essex County,Census Tract 67,35620,4826.340054,3120.009
34013006800,NJ,Essex County,Census Tract 68,35620,2983.019581,3356.24
34013006900,NJ,Essex County,Census Tract 69,35620,3303.117742,3701.462
34013007000,NJ,Essex County,Census Tract 70,35620,3129.000005,3734.806
34013007100,NJ,Essex County,Census Tract 71,35620,3217.000006,4010.285
34013007200,NJ,Essex County,Census Tract 72,35620,3053.000017,4035.796
34013007300,NJ,Essex County,Census Tract 73,35620,3834.742524,3881.675
34013007400,NJ,Essex County,Census Tract 74,35620,1805.453757,3838.994
34013007501,NJ,Essex County,Census Tract 75.01,35620,4912.271559,3517.607
34013007502,NJ,Essex County,Census Tract 75.02,35620,3350.772973,3086.044
34013007600,NJ,Essex County,Census Tract 76,35620,1731.17394,3679.489
34013007700,NJ,Essex County,Census Tract 77,35620,2929.999969,4354.553
34013007800,NJ,Essex County,Census Tract 78,35620,3566,3778.12
34013007900,NJ,Essex County,Census Tract 79,35620,3962.696361,3825.604
34013008000,NJ,Essex County,Census Tract 80,35620,1583.303676,2867.392
34013008100,NJ,Essex County,Census Tract 81,35620,2721.999974,4298.17
34013008200,NJ,Essex County,Census Tract 82,35620,1601.999985,2896.805
34013008700,NJ,Essex County,Census Tract 87,35620,6453.000047,3216.711
34013008800,NJ,Essex County,Census Tract 88,35620,3226.999989,2933.648
34013008900,NJ,Essex County,Census Tract 89,35620,2162.000006,2838.912
34013009000,NJ,Essex County,Census Tract 90,35620,2805.000062,5244.951
34013009100,NJ,Essex County,Census Tract 91,35620,3237.00002,3538.807
34013009200,NJ,Essex County,Census Tract 92,35620,5164.999953,3067.54
34013009300,NJ,Essex County,Census Tract 93,35620,3909.359608,3830.977
34013009400,NJ,Essex County,Census Tract 94,35620,6212.000006,5140.22
34013009500,NJ,Essex County,Census Tract 95,35620,5743.999949,4622.868
34013009600,NJ,Essex County,Census Tract 96,35620,6870.015129,2932.971
34013009700,NJ,Essex County,Census Tract 97,35620,5375.99993,3924.13
34013009900,NJ,Essex County,Census Tract 99,35620,2402.924592,3740.658
34013010000,NJ,Essex County,Census Tract 100,35620,2997.00433,4978.51
34013010100,NJ,Essex County,Census Tract 101,35620,3720.693407,3992.95
34013010200,NJ,Essex County,Census Tract 102,35620,4615.418637,5148.602
34013010300,NJ,Essex County,Census Tract 103,35620,5280.000031,4525.606
34013010400,NJ,Essex County,Census Tract 104,35620,5450.000015,6009.17
34013010500,NJ,Essex County,Census Tract 105,35620,4072.999995,5256.427
34013010600,NJ,Essex County,Census Tract 106,35620,5271.999912,5027.176
34013010700,NJ,Essex County,Census Tract 107,35620,4558.000006,3794.504
34013010800,NJ,Essex County,Census Tract 108,35620,4625.495573,3747.295
34013010900,NJ,Essex County,Census Tract 109,35620,3718.969199,3675.975
34013011100,NJ,Essex County,Census Tract 111,35620,3113.999956,7513.996
34013011200,NJ,Essex County,Census Tract 112,35620,4356.00003,3927.848
34013011300,NJ,Essex County,Census Tract 113,35620,3558.999985,5035.873
34013011400,NJ,Essex County,Census Tract 114,35620,4653.671611,7001.179
34013011500,NJ,Essex County,Census Tract 115,35620,2564.19722,4007.216
34013011600,NJ,Essex County,Census Tract 116,35620,3269.000061,3913.032
34013011700,NJ,Essex County,Census Tract 117,35620,4377.220236,4749.345
34013011800,NJ,Essex County,Census Tract 118,35620,3018.731336,4826.711
34013011900,NJ,Essex County,Census Tract 119,35620,1862.814677,4378.781
34013012000,NJ,Essex County,Census Tract 120,35620,5285.377539,4639.246
34013012100,NJ,Essex County,Census Tract 121,35620,3648.677539,4221.298
34013012200,NJ,Essex County,Census Tract 122,35620,6236.806553,4547.003
34013012300,NJ,Essex County,Census Tract 123,35620,4446.86518,4885.472
34013012400,NJ,Essex County,Census Tract 124,35620,4072.000029,3777.608
34013012500,NJ,Essex County,Census Tract 125,35620,3976.608298,4230.71
34013012600,NJ,Essex County,Census Tract 126,35620,3363.767529,4483.719
34013012700,NJ,Essex County,Census Tract 127,35620,4134.99153,4700.22
34013012800,NJ,Essex County,Census Tract 128,35620,4055.621508,4200.668
34013012900,NJ,Essex County,Census Tract 129,35620,3294.185243,4120.065
34013013000,NJ,Essex County,Census Tract 130,35620,2503.000091,5119.349
34013013100,NJ,Essex County,Census Tract 131,35620,3522.662005,3613.462
34013013200,NJ,Essex County,Census Tract 132,35620,5002.214822,4063.647
34013013300,NJ,Essex County,Census Tract 133,35620,4684.968386,3932.81
34013013400,NJ,Essex County,Census Tract 134,35620,5148.647529,5551.085
34013013500,NJ,Essex County,Census Tract 135,35620,5841.000006,5425.639
34013013600,NJ,Essex County,Census Tract 136,35620,4874.741927,4859.629
34013013700,NJ,Essex County,Census Tract 137,35620,5932.545382,4807.612
34013013800,NJ,Essex County,Census Tract 138,35620,5353.202728,5423.443
34013013900,NJ,Essex County,Census Tract 139,35620,4887.794957,4853.253
34013014000,NJ,Essex County,Census Tract 140,35620,4850.897078,5231.386
34013014100,NJ,Essex County,Census Tract 141,35620,3689.84713,4846.069
34013014200,NJ,Essex County,Census Tract 142,35620,4544.207318,5170.177
34013014300,NJ,Essex County,Census Tract 143,35620,5400.268146,4676.071
34013014400,NJ,Essex County,Census Tract 144,35620,3640.615467,3718.796
34013014500,NJ,Essex County,Census Tract 145,35620,3574.999999,4519.266
34013014600,NJ,Essex County,Census Tract 146,35620,5207.000003,4619.016
34013014700,NJ,Essex County,Census Tract 147,35620,3907.696466,4396.81
34013014800,NJ,Essex County,Census Tract 148,35620,4107.15633,6189.734
34013014900,NJ,Essex County,Census Tract 149,35620,4956.605583,5583.169
34013015000,NJ,Essex County,Census Tract 150,35620,3945.999966,6078.533
34013015100,NJ,Essex County,Census Tract 151,35620,5047.183374,4576.128
34013015200,NJ,Essex County,Census Tract 152,35620,4204.352191,4548.893
34013015300,NJ,Essex County,Census Tract 153,35620,3768.7219,5299.319
34013015400,NJ,Essex County,Census Tract 154,35620,5029.000059,4487.972
34013015500,NJ,Essex County,Census Tract 155,35620,4025.999952,4227.067
34013015600,NJ,Essex County,Census Tract 156,35620,4355.510424,5763.242
34013015700,NJ,Essex County,Census Tract 157,35620,2283.412427,4090.192
34013015800,NJ,Essex County,Census Tract 158,35620,4266.999967,4795.53
34013015900,NJ,Essex County,Census Tract 159,35620,5934.458814,4319.496
34013016000,NJ,Essex County,Census Tract 160,35620,8676.448501,7753.431
34013016100,NJ,Essex County,Census Tract 161,35620,4407.000032,6455.743
34013016200,NJ,Essex County,Census Tract 162,35620,3614.843614,10290.79
34013016300,NJ,Essex County,Census Tract 163,35620,4887.999995,9227.442
34013016400,NJ,Essex County,Census Tract 164,35620,3701.942359,10215.72
34013016500,NJ,Essex County,Census Tract 165,35620,4869.999997,6954.302
34013016600,NJ,Essex County,Census Tract 166,35620,3917.000024,4629.937
34013016700,NJ,Essex County,Census Tract 167,35620,2182.830925,3368.519
34013016800,NJ,Essex County,Census Tract 168,35620,3583.152615,5364.187
34013016900,NJ,Essex County,Census Tract 169,35620,3884.752498,11398.17
34013017000,NJ,Essex County,Census Tract 170,35620,2541.086808,6105.44
34013017100,NJ,Essex County,Census Tract 171,35620,2474.999984,3361.198
34013017200,NJ,Essex County,Census Tract 172,35620,3384.000021,4253.124
34013017301,NJ,Essex County,Census Tract 173.01,35620,4465.372616,6688.258
34013017302,NJ,Essex County,Census Tract 173.02,35620,6299.24499,6688.257
34013017400,NJ,Essex County,Census Tract 174,35620,5027.283029,5931.829
34013017500,NJ,Essex County,Census Tract 175,35620,5329.999952,7175.037
34013017600,NJ,Essex County,Census Tract 176,35620,4467.000013,4527.163
34013017700,NJ,Essex County,Census Tract 177,35620,4530.00001,4234.433
34013017800,NJ,Essex County,Census Tract 178,35620,3625.000543,4224.943
34013017900,NJ,Essex County,Census Tract 179,35620,3960,6087.388
34013018000,NJ,Essex County,Census Tract 180,35620,6794.000058,9197.541
34013018100,NJ,Essex County,Census Tract 181,35620,2829.895131,4261.47
34013018200,NJ,Essex County,Census Tract 182,35620,3560.453441,4037.642
34013018300,NJ,Essex County,Census Tract 183,35620,4684.00001,4026.74
34013018400,NJ,Essex County,Census Tract 184,35620,2641.999987,3261.51
34013018600,NJ,Essex County,Census Tract 186,35620,5263.999407,3309.278
34013018700,NJ,Essex County,Census Tract 187,35620,4234.000006,5062.405
34013018800,NJ,Essex County,Census Tract 188,35620,5337.999969,6246.639
34013018900,NJ,Essex County,Census Tract 189,35620,3759.999957,4231.776
34013019000,NJ,Essex County,Census Tract 190,35620,4730.576509,12846.05
34013019100,NJ,Essex County,Census Tract 191,35620,4966.045857,10088.9
34013019200,NJ,Essex County,Census Tract 192,35620,4108.368602,5118.927
34013019300,NJ,Essex County,Census Tract 193,35620,3516.999993,5448.473
34013019400,NJ,Essex County,Census Tract 194,35620,3086.120073,10360.85
34013019500,NJ,Essex County,Census Tract 195,35620,4351.999987,8848.812
34013019600,NJ,Essex County,Census Tract 196,35620,5870.394454,5827.116
34013019700,NJ,Essex County,Census Tract 197,35620,5616.944665,4857.545
34013019800,NJ,Essex County,Census Tract 198,35620,3104.49278,5934.565
34013019900,NJ,Essex County,Census Tract 199,35620,2842.905943,8190.04
34013020000,NJ,Essex County,Census Tract 200,35620,6544.511367,16514.73
34013020100,NJ,Essex County,Census Tract 201,35620,5358.936469,14350.49
34013020200,NJ,Essex County,Census Tract 202,35620,4985.177502,7298.029
34013020300,NJ,Essex County,Census Tract 203,35620,4646.999923,6697.545
34013020400,NJ,Essex County,Census Tract 204,35620,5413.000001,7541.627
34013020500,NJ,Essex County,Census Tract 205,35620,7632.862612,7613.265
34013020600,NJ,Essex County,Census Tract 206,35620,5430.797431,7789.459
34013020700,NJ,Essex County,Census Tract 207,35620,5493.999956,6006.075
34013020800,NJ,Essex County,Census Tract 208,35620,6912.48867,7926.242
34013020901,NJ,Essex County,Census Tract 209.01,35620,1963.84562,8341.594
34013020902,NJ,Essex County,Census Tract 209.02,35620,5028.272289,8353.08
34013021000,NJ,Essex County,Census Tract 210,35620,5244.215264,6111.064
34013021100,NJ,Essex County,Census Tract 211,35620,5203.882138,7344.602
34013021200,NJ,Essex County,Census Tract 212,35620,4575.139955,6722.226
34013021300,NJ,Essex County,Census Tract 213,35620,8488.883909,3836.078
34013021400,NJ,Essex County,Census Tract 214,35620,7382.000024,6088.473
34013021601,NJ,Essex County,Census Tract 216.01,35620,9813.204147,6892.48
34013021602,NJ,Essex County,Census Tract 216.02,35620,2865.05178,6778.031
