tractid,tracta,countya,statea,pop19,incpc19
36081013700,Census Tract 137, Queens County, New York,1773,50997
36081014900,Census Tract 149, Queens County, New York,1842,41280
36081015400,Census Tract 154, Queens County, New York,2170,25678
36081021200,Census Tract 212, Queens County, New York,2434,16872
36081022002,Census Tract 220.02, Queens County, New York,7128,35322
36081024500,Census Tract 245, Queens County, New York,4422,33735
36081118900,Census Tract 1189, Queens County, New York,2050,28276
36081115900,Census Tract 1159, Queens County, New York,4256,25924
36081116700,Census Tract 1167, Queens County, New York,1676,19328
36081117100,Census Tract 1171, Queens County, New York,2359,30122
36081119900,Census Tract 1199, Queens County, New York,1517,25654
36081120700,Census Tract 1207, Queens County, New York,3097,28830
36081122300,Census Tract 1223, Queens County, New York,3438,38104
36081130100,Census Tract 1301, Queens County, New York,4204,37890
36081133300,Census Tract 1333, Queens County, New York,3896,39730
36081134700,Census Tract 1347, Queens County, New York,10944,32257
36081086100,Census Tract 861, Queens County, New York,2032,25047
36081086400,Census Tract 864, Queens County, New York,2727,25351
36081092800,Census Tract 928, Queens County, New York,3594,57687
36081093900,Census Tract 939, Queens County, New York,5299,35530
36081094500,Census Tract 945, Queens County, New York,3654,33717
36081098700,Census Tract 987, Queens County, New York,2434,44813
36081099900,Census Tract 999, Queens County, New York,0,NA
36081111300,Census Tract 1113, Queens County, New York,2526,46186
36081114100,Census Tract 1141, Queens County, New York,2362,46974
36081115500,Census Tract 1155, Queens County, New York,2150,25261
36081115700,Census Tract 1157, Queens County, New York,3207,25690
36081118500,Census Tract 1185, Queens County, New York,1978,21425
36081118700,Census Tract 1187, Queens County, New York,2484,24703
36081119500,Census Tract 1195, Queens County, New York,1453,33670
36081122701,Census Tract 1227.01, Queens County, New York,11356,35492
36081128300,Census Tract 1283, Queens County, New York,0,NA
36081138501,Census Tract 1385.01, Queens County, New York,4617,34039
36081142900,Census Tract 1429, Queens County, New York,3760,34005
36081143500,Census Tract 1435, Queens County, New York,2452,39150
36081145101,Census Tract 1451.01, Queens County, New York,1127,33478
36081146700,Census Tract 1467, Queens County, New York,2619,47432
36005044901,Census Tract 449.01, Bronx County, New York,1763,46142
